author_id,time_in_seconds,timestamp,badges,video_offset_time_msec,time_text,author,message
UCL8xG5KA3Eza2WPZVuInvhQ,40,1597516961544489,,40213,0:40,aqualeon_,GODSPEED TECHNO
UCrI5FljNaJQ5fiIqGFpJT5Q,40,1597516961606010,,40275,0:40,KeytonoX,We win these????
UCfsRcrmspQgEuhkjarFcEWQ,40,1597516961820388,,40489,0:40,zimmyo,wooo!
UCG0ThursH4oSjbbxPYNKY9g,40,1597516961854506,,40523,0:40,Moved to the channel in my about page,POG
UCU2DzH3kg2FmZN-Vcx0DNQw,40,1597516962093304,,40762,0:40,james halliday,Hi
UCtJSHIewgiTD33OtUuT7OLQ,40,1597516962312555,,40981,0:40,Wendigo - Tales,"oh shot u scared me, i was tab off--"
UCwd_5Pp4IpSsby88yqSVcXw,41,1597516962410054,,41079,0:41,Christian Salides,OMG TECHNOBLADE
UCqQrI5nRg5szu-R1HYb0oTg,41,1597516962478402,,41147,0:41,Blazegaming,too good
UCL5HKjbzRvXrkI8vNdkS7hA,41,1597516962478925,,41148,0:41,Minecraft Person,HEYY
UCRDbcFEhjjc4oZs9XTYr-Xg,41,1597516962558796,,41227,0:41,Your friendly Neighbor Dan,LATE
UCMvVBswt7yM4R18FJ9GeYFg,41,1597516962571562,,41240,0:41,Mushui Zhu,too
UChuSzE-vx6poJ-C6G8E9-6A,41,1597516963025441,,41694,0:41,_ xProjek,What’s up
UCvv_HX6zHhWnddNmL3gWK_w,41,1597516963026105,,41695,0:41,b word bro,omg tachnoblade
UCniZr6jRWcwheVOmn2YPgTg,41,1597516963031583,,41700,0:41,The Fish Man,TECHNOPOG
UChRecY97589V5WhDnSSmpNw,41,1597516963252266,,41921,0:41,PongoPower,POG
UCm7gpkSTx0R4cgbPjK3Hy7w,42,1597516963586336,,42267,0:42,Logan Cole,oh yeah
UCelOSTMrhLIJ000NdOPFpTg,42,1597516963637268,,42318,0:42,Crocogile,Hi
UCAyjmYFjPt1-3HSPR_SeGVg,42,1597516963914144,,42595,0:42,Edgar,techno support
UCEyhDWAPhAqfgn6QzFwEypw,42,1597516964075927,,42757,0:42,Cobra,late
UCFNP4bU6ut8PSnHexyahHSA,42,1597516964153736,,42835,0:42,Techno Support,Reeeee
UCJGPNyh8iETGtMqREtjofUQ,42,1597516964167340,,42848,0:42,TomatoManPan YT,TECHNOSWAG
UCMRughKFc-rXiQjbLLlpZxw,43,1597516964643959,,43325,0:43,Tarzan 666,techno support
UCCXUQQk7BGl9caD1XfvPwFQ,43,1597516964828372,,43509,0:43,Lovely Dreams Microwave,WOOOOOOO
UCVoKP3MSHwIFO2dabEM6W2g,43,1597516964880348,,43561,0:43,lil Weeb,Hi
UCdyPbflpSMAsyD44wFxbmMw,43,1597516964932397,,43613,0:43,Not Joxkz,Heyyyyy
UCCB0HlUZcfOn8gkL5Ce67RQ,43,1597516965171886,,43853,0:43,꧁A genderless donut꧂,AYYYYYYYY
UCh6znmKfuHV1qhLPXZlfl0w,44,1597516965348434,,44029,0:44,Seby T.,Pog
UCm_1nF9KLHsIsgbO5fzdazQ,46,1597516968015225,,46604,0:46,Communist Dog,ITS HAPPENING
UC-gxUEO3bSYPjKV_giAuHjA,46,1597516968033582,,46622,0:46,Macknificent 101,TECHNO SUPPORT IS HERE!!!!!!
UClPFejn_E0ToC7iobNUQ4iA,46,1597516968057203,,46646,0:46,Baby Yoda,OHHHHHHHH
UCw0zgODF45LCSB_k4JTYM8A,46,1597516968085838,,46674,0:46,lemonade man,YES YES YES
UCIsanlO9OF-ORqIp5pRSlww,46,1597516968205911,,46794,0:46,Piotr Wiśniewski,TECHNO IS LIVE YES
UCJbgIuyIwCPp6E0KB0Y7_JA,47,1597516968629596,,47218,0:47,Scarlet Cript,POG
UCw4aZL-j8gJm9pcGEGGNiWg,47,1597516968805094,,47393,0:47,ナオNaotozo,TECHNODREAM STREAMMM
UC_1q-N4dDdI8XFwLnFI5iVA,47,1597516969075639,,47664,0:47,Dmitri the Grape,WOWZA
UCaBDWklw5quL5ozu3oq0qow,47,1597516969257139,Member (7 months),47845,0:47,Open Space,LATEW
UCE6wa5ov8yLE7wvTWQkR8mQ,47,1597516969321834,,47910,0:47,Spayce,yoooo
UC1sbemYsYgxx48tY89XxH2w,48,1597516969628951,,48201,0:48,Jackson Lindsay,Dream team?
UCRqb-C-BgfftTdHapniZX2g,48,1597516969929912,,48501,0:48,Amelia Johnston,Aye techno!
UCc_Tdr9Hg_YC4LKT1AWgnjg,48,1597516970020533,,48592,0:48,Optimal Unknown,TEEEECHNOBLAAAAAADEEEEE
UCZPDEosKcmT4cCccj_yfqZQ,48,1597516970335161,,48907,0:48,Pooky Tobias,what the
UCm8wPCo88DAburuoNOT2iJA,49,1597516970473288,,49045,0:49,ABlockOfCoal,Late
UCqQ8mx0KZotkQPKOupRWacQ,49,1597516970549430,,49121,0:49,Mikexeon Mobile,late
UCsJJ1S0e-irFBo4dj2jlVcQ,49,1597516970658035,,49230,0:49,Alejandro Hernandez,E
UCqZNXMYaJ23nOXpjLQn4OdQ,49,1597516970835964,,49408,0:49,MangoMania,LATE
UC0NCEjIuE9tCctkaIEqN8rA,49,1597516971080909,,49652,0:49,spacemilk,AYYYYY
UCUY2l6sRghBy7s9QoU-FUXQ,49,1597516971170295,,49742,0:49,ThePugOverLord,Late
UC5C4DD7NsUD8t-fRt0LWvzg,49,1597516971234244,,49806,0:49,sarah y.,HELLOOOOOOOOO
UCzsqP5C2cYMOcjecg5DeduA,49,1597516971257094,,49829,0:49,Chopkeys,ITS EARLY POG
UCqzqnyeAaPeA_9Mxls2rhKg,49,1597516971280674,,49852,0:49,num472 productions,LATE
UCCKIuu50RUeYHyurbGOnhKw,50,1597516971480437,,50052,0:50,Carson Child,late
UCAj_k-nbo_V4oFufw-l01hw,50,1597516971529126,,50101,0:50,Brigid,AYYYYY
UC9biwD2iR3oMppVznC8oYJw,50,1597516971755637,,50361,0:50,Heck,TECHNOBLADE I LOVE YOOOUUUUU
UCkjJFWX3lCpW4xrpci_4DBQ,50,1597516972184809,,50790,0:50,frw0zrn,yooo
UCqNnGqQ0XfZ-x4w3CuZ4yMQ,50,1597516972291969,,50897,0:50,Bėbras,late
UCM9xchhJ4MY2Gj1Eo0zaJZw,50,1597516972376439,,50981,0:50,keith Mahatamachai,Late
UCi6BPNQ-IMKzVwgi8uBYykQ,51,1597516972398207,,51003,0:51,Bente W.,Late
UCbQ0VxvH9_dJi2AyOl_mw4g,51,1597516972454609,,51059,0:51,Once Twice,late
