author,author_id,badges,message,time_in_seconds,time_text,timestamp,video_offset_time_msec
Cabastan Speed,UCTZ9uYMdyHICO-Ulj4EiUUQ,,💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚,623,10:23,1598724756259820,623336
smolbranshells :p,UCY43uNKPiD6TtCDkR6mO42Q,,i support both so idek what-,623,10:23,1598724756496328,623573
VN 5,UCfI-3UF9uuv-WmP6PCXBTxQ,,​❤TECHNOSUPPORT❤,623,10:23,1598724756814179,623657
Edgar Baizan,UC8u3_QEKUvYAdP-btNVln4A,,TEAM DREAM,623,10:23,1598724756604004,623680
Liran,UCpA1zdQaQLVtmvgflbQUZ1w,,yay,623,10:23,1598724756891573,623735
zexuo,UCu6H9-IyGdk9TeDF0HJTqKA,,💚💚DREAM💚💚,623,10:23,1598724756682778,623759
Mathilde Rasmussen,UCRS0fhZxL4zCRZ2LpAbfJoQ,,TEAM DREAM,624,10:24,1598724757587827,624431
Snorre TT,UCXNYFvEOxDzpcvMGuzyPHVw,,❤TECHNOSUPPORT❤,624,10:24,1598724757588977,624432
Flummox,UCW04fBSP-o5wzV9qz9ckFIg,,TECHNO BETTER,624,10:24,1598724757606289,624450
Liv's World,UCgnr4VcayiJBwqzjIGGbSoQ,,POG,624,10:24,1598724757716338,624560
Łuna Łayła,UClY_yioXQ-YpNbvZFs2HBPA,,TECHNO SUPPORT,624,10:24,1598724757820391,624664
Jeremy Donovan,UChCyH_J_TIY2ql1loVoFgvQ,,DREAM TEAM,624,10:24,1598724757906975,624750
Maddie K,UCilluEJZOkLuO9fS-e8rvSw,,💚💚💚💚💚💚💚,624,10:24,1598724757953540,624797
Malachi Vile,UC5okb9dTqs9TWW6yjw6Ne1A,,TECHNO SUPPORT,624,10:24,1598724758115650,624959
eggnog,UCz8SylEL9kraO4Qknx4i9zA,,WOOO,625,10:25,1598724758256975,625100
Team Tiger,UCmGwSqe0DfJM4hMYPnnvhuw,,YOO,625,10:25,1598724758263940,625107
Adriangrypro,UCyl-1wh6zg21CGv01lFyi_w,,pogggers,625,10:25,1598724758521901,625365
AnimePvP,UC6lm5CDgfAlGFNLz2KBOfxw,,❤ TECHNO SUPPORT ❤,625,10:25,1598724758581390,625425
Jakob1801,UC2n-Rhkf3ITRhXvvawis92g,,​❤TECHNOSUPPORT❤,625,10:25,1598724758717071,625560
Strahinja Ilic,UCygZMo9BYl4bw7UK1HcPHzg,,💚💚💚,625,10:25,1598724758905912,625749
N1c0,UCbx9wWBQs2bYXhePgZaBtiw,,💚💚,625,10:25,1598724758937212,625780
jay McDaniel,UCT_HjwrtwIGfvTLZt8CcChw,,GO DREAMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMM,625,10:25,1598724758961176,625804
Nira 김,UC687un89lQdYaJP0LjyA3QQ,,DREAM DREAM DREAMM,625,10:25,1598724758969223,625812
IsThatRio,UCzUoLi1NWlVY3PS95QiTz1Q,,❤️❤️❤️❤️❤️❤️,625,10:25,1598724759145131,625988
Liv's World,UCgnr4VcayiJBwqzjIGGbSoQ,,POGGGG,626,10:26,1598724759303093,626146
K Cubing,UCQJXIrXt1JxFXhgPYLVa0rw,,sorry techno but dream,626,10:26,1598724759333762,626177
C R E E P Z I L L A,UCHSITBeTYXWNJlnm4XJtBlw,,gogogo,626,10:26,1598724759469546,626313
1k Subs With No Videos?,UCmCsQ6PLoIQHiQlPIlUCqsw,,💚💚💚 DREAM TEAM 💚💚💚,626,10:26,1598724759648627,626492
Devi Subramaniam,UC82T_YTRhln40jcB7SPoe6g,,team dream,626,10:26,1598724759963765,626807
Jason JC12135,UCNR3b3cft_pBcZHruiMxCgw,,Lol,626,10:26,1598724760017194,626860
Synxx,UCg4mzazXsN1uD4kBeNIrtHg,,TECHNO SENPAI,627,10:27,1598724760164117,627007
Aviation Slank,UC2fJQKcT-pQNvPPgRy2w1JQ,,DREAMDREAM,627,10:27,1598724760186068,627029
jxst pandaz,UCAlgtBxVLE2Wb1bfRWApePw,,❤️ TECHNOSUPPORT ❤️,627,10:27,1598724760419894,627263
suyam manandhar,UCIoAeMxVDGV6DQ3BVGBNvLA,,​❤ TECHNO SUPPORT ❤,627,10:27,1598724760503480,627347
Slipze,UCit72Ham7ud28nqvzxNECyQ,,dream is best,627,10:27,1598724760732488,627576
Dear my 960 subs! Please unsubscribe.,UCHtUJWWKgXATzVLLQ_LGFQg,,dream,627,10:27,1598724760738184,627581
Bluey The Cat,UCfmAQoq80KkYW8UbNPxsBSQ,,TECHNOSUPPORT,627,10:27,1598724760942731,627786
RealityMS,UCARDbPgnPx_WuSDmjAuV6Hw,,💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚,627,10:27,1598724760992738,627836
Bob Bill,UCzTjiYaO8iDjbEuHaYYDVAg,,Techno Support ♥️,627,10:27,1598724761029375,627873
Roblox Ambassador,UC1hqNFmgZwVxNHOVPnVB7AQ,,techno is better than dream!!!,628,10:28,1598724761195374,628039
jxst pandaz,UCAlgtBxVLE2Wb1bfRWApePw,,❤️ TECHNOSUPPORT ❤️,628,10:28,1598724761251328,628095
Darkdiamond360,UC-OQIuffzLcy8c8qVfULpJA,,dream!!!,628,10:28,1598724761424855,628268
Potato Ketchup,UCvNrrTNXrciGIHtBhs-LHQg,,❤TECHNOSUPPORT❤,628,10:28,1598724761627467,628471
Howaine Grant,UCnlP8KiHeXgpUV_9Y6q9xEw,,Goo dream,628,10:28,1598724761701915,628545
Isaac Forman,UCZSq5CQIQHA3zuLCiic_AmQ,,💚,628,10:28,1598724761707515,628551
Mason Jahn-265004765,UCISs-MLeKbW7a7xSwVzKeGQ,,dream sumps,628,10:28,1598724761735325,628579
nosam25LazyMen,UCd9eJZHVZNSg9PrvI0B0tcA,,fight of a life time,628,10:28,1598724762128714,628972
Fat Spiderman,UCYl3i91dtGVMxJre2rWTqbg,,Dream winnnnn!!!!!,628,10:28,1598724762138426,628982
