author,time_in_seconds,time_text,timestamp,author_id,amount,message,ticker_duration,video_offset_time_msec,header_color,body_color
Apricot the Lich,0,-0:00,1600376423492564,UCWgv3YTAX1ucqhi6xWNnulQ,£10.00,"Hello Gura! Greetings from Underworld England, I loved your debut and I can't wait to follow your Hololive journey!",,0,"{'rgba': [255, 179, 0, 255], 'hex': '#ffb300ff'}","{'rgba': [255, 202, 40, 255], 'hex': '#ffca28ff'}"
Apricot the Lich,0,-0:00,1600376423492564,UCWgv3YTAX1ucqhi6xWNnulQ,£10.00,"Hello Gura! Greetings from Underworld England, I loved your debut and I can't wait to follow your Hololive journey!",300,0,"{'rgba': [255, 179, 0, 255], 'hex': '#ffb300ff'}","{'rgba': [255, 202, 40, 255], 'hex': '#ffca28ff'}"
Yvarg,0,-0:00,1600376423956979,UC5ExHb90dOqhRQF1m6k1D1g,$5.00,,,0,"{'rgba': [0, 191, 165, 255], 'hex': '#00bfa5ff'}","{'rgba': [29, 233, 182, 255], 'hex': '#1de9b6ff'}"
Yvarg,0,-0:00,1600376423956979,UC5ExHb90dOqhRQF1m6k1D1g,$5.00,,120,0,"{'rgba': [0, 191, 165, 255], 'hex': '#00bfa5ff'}","{'rgba': [29, 233, 182, 255], 'hex': '#1de9b6ff'}"
Guy Hartley,2,0:02,1600376429367242,UC5yP85ST3Yb8gdtsejGmPXQ,$50.00,,,2577,"{'rgba': [194, 24, 91, 255], 'hex': '#c2185bff'}","{'rgba': [233, 30, 99, 255], 'hex': '#e91e63ff'}"
Guy Hartley,2,0:02,1600376429367242,UC5yP85ST3Yb8gdtsejGmPXQ,$50.00,,1800,2577,"{'rgba': [194, 24, 91, 255], 'hex': '#c2185bff'}","{'rgba': [233, 30, 99, 255], 'hex': '#e91e63ff'}"
Dunzl,3,0:03,1600376446166778,UC_OK3Wr2wLLfwz61AF5sXGA,€2.00,it aint much but its an honest donation,,3254,"{'rgba': [0, 184, 212, 255], 'hex': '#00b8d4ff'}","{'rgba': [0, 229, 255, 255], 'hex': '#00e5ffff'}"
Plastic Paizuri,9,0:09,1600376507887439,UCNF6yvPmyuwy1KoJYOX1vTA,$5.00,"TINY SHARK, BIG LOVE! You help make a long day more bearable, Guwa. Can I get a CHOMP for the chumbuds?",,9587,"{'rgba': [0, 191, 165, 255], 'hex': '#00bfa5ff'}","{'rgba': [29, 233, 182, 255], 'hex': '#1de9b6ff'}"
Plastic Paizuri,9,0:09,1600376507887439,UCNF6yvPmyuwy1KoJYOX1vTA,$5.00,"TINY SHARK, BIG LOVE! You help make a long day more bearable, Guwa. Can I get a CHOMP for the chumbuds?",120,9587,"{'rgba': [0, 191, 165, 255], 'hex': '#00bfa5ff'}","{'rgba': [29, 233, 182, 255], 'hex': '#1de9b6ff'}"
knowsuchpeace,9,0:09,1600376445820134,UCwG13NcNSUw7hqvvqUoVVWA,$50.00,a,,9930,"{'rgba': [194, 24, 91, 255], 'hex': '#c2185bff'}","{'rgba': [233, 30, 99, 255], 'hex': '#e91e63ff'}"
knowsuchpeace,9,0:09,1600376445820134,UCwG13NcNSUw7hqvvqUoVVWA,$50.00,a,1800,9930,"{'rgba': [194, 24, 91, 255], 'hex': '#c2185bff'}","{'rgba': [233, 30, 99, 255], 'hex': '#e91e63ff'}"
Synthshell,10,0:10,1600376476845374,UCDeYwBUpyB6wxBQd4BldHwQ,$5.00,congrats on 300k!!!!😄,,10603,"{'rgba': [0, 191, 165, 255], 'hex': '#00bfa5ff'}","{'rgba': [29, 233, 182, 255], 'hex': '#1de9b6ff'}"
Synthshell,10,0:10,1600376476845374,UCDeYwBUpyB6wxBQd4BldHwQ,$5.00,congrats on 300k!!!!😄,120,10603,"{'rgba': [0, 191, 165, 255], 'hex': '#00bfa5ff'}","{'rgba': [29, 233, 182, 255], 'hex': '#1de9b6ff'}"
PhantomFlynn,12,0:12,1600376439047318,UCRyYMwkA00-VBqNuVsIw5Fg,$5.00,Shaaak!!! Congrats on 300k!,,12224,"{'rgba': [0, 191, 165, 255], 'hex': '#00bfa5ff'}","{'rgba': [29, 233, 182, 255], 'hex': '#1de9b6ff'}"
PhantomFlynn,12,0:12,1600376439047318,UCRyYMwkA00-VBqNuVsIw5Fg,$5.00,Shaaak!!! Congrats on 300k!,120,12224,"{'rgba': [0, 191, 165, 255], 'hex': '#00bfa5ff'}","{'rgba': [29, 233, 182, 255], 'hex': '#1de9b6ff'}"
Caleb Butler,13,0:13,1600376440175884,UCm8eO98UJ3ZMJKpyKqNAfhA,$0.99,,,13444,"{'rgba': [21, 101, 192, 255], 'hex': '#1565c0ff'}","{'rgba': [30, 136, 229, 255], 'hex': '#1e88e5ff'}"
Astral,14,0:14,1600376451838156,UCPcvXYxB3OlglGFMPiN6ZQA,$10.00,a,,14372,"{'rgba': [255, 179, 0, 255], 'hex': '#ffb300ff'}","{'rgba': [255, 202, 40, 255], 'hex': '#ffca28ff'}"
Astral,14,0:14,1600376451838156,UCPcvXYxB3OlglGFMPiN6ZQA,$10.00,a,300,14372,"{'rgba': [255, 179, 0, 255], 'hex': '#ffb300ff'}","{'rgba': [255, 202, 40, 255], 'hex': '#ffca28ff'}"
HAL,16,0:16,1600376455079811,UC4tmgA_czQPmvzoAmPUv2Ag,¥500,a,,16831,"{'rgba': [0, 191, 165, 255], 'hex': '#00bfa5ff'}","{'rgba': [29, 233, 182, 255], 'hex': '#1de9b6ff'}"
HAL,16,0:16,1600376455079811,UC4tmgA_czQPmvzoAmPUv2Ag,¥500,a,120,16831,"{'rgba': [0, 191, 165, 255], 'hex': '#00bfa5ff'}","{'rgba': [29, 233, 182, 255], 'hex': '#1de9b6ff'}"
Jeffrey K.,17,0:17,1600376456903177,UCQXLlnF7bLmcEwXehENMupg,$2.00,🦈,,17649,"{'rgba': [0, 184, 212, 255], 'hex': '#00b8d4ff'}","{'rgba': [0, 229, 255, 255], 'hex': '#00e5ffff'}"
Smallboss,17,0:17,1600376454930080,UCcC1AL0kQrmzew64iap3LBw,$25.00,a,,17927,"{'rgba': [230, 81, 0, 255], 'hex': '#e65100ff'}","{'rgba': [245, 124, 0, 255], 'hex': '#f57c00ff'}"
Smallboss,17,0:17,1600376454930080,UCcC1AL0kQrmzew64iap3LBw,$25.00,a,600,17927,"{'rgba': [230, 81, 0, 255], 'hex': '#e65100ff'}","{'rgba': [245, 124, 0, 255], 'hex': '#f57c00ff'}"
shinchan,20,0:20,1600376458561429,UCQyj-cIN2tI7MDnHI7SVsDA,¥500,🦈収益化おめでとう！🦈,,20458,"{'rgba': [0, 191, 165, 255], 'hex': '#00bfa5ff'}","{'rgba': [29, 233, 182, 255], 'hex': '#1de9b6ff'}"
shinchan,20,0:20,1600376458561429,UCQyj-cIN2tI7MDnHI7SVsDA,¥500,🦈収益化おめでとう！🦈,120,20458,"{'rgba': [0, 191, 165, 255], 'hex': '#00bfa5ff'}","{'rgba': [29, 233, 182, 255], 'hex': '#1de9b6ff'}"
High-Fructose Corn Syrup,21,0:21,1600376456675998,UCMflZKPWVR2gLI5SUMw1fnw,CA$25.00,a,,21437,"{'rgba': [230, 81, 0, 255], 'hex': '#e65100ff'}","{'rgba': [245, 124, 0, 255], 'hex': '#f57c00ff'}"
High-Fructose Corn Syrup,21,0:21,1600376456675998,UCMflZKPWVR2gLI5SUMw1fnw,CA$25.00,a,600,21437,"{'rgba': [230, 81, 0, 255], 'hex': '#e65100ff'}","{'rgba': [245, 124, 0, 255], 'hex': '#f57c00ff'}"
トウミ,34,0:34,1600376460867106,UCMhUIipFCHXk86Dtpcb8tIA,"¥1,220",,,34138,,"{'rgba': [255, 179, 0, 255], 'hex': '#ffb300ff'}"
トウミ,34,0:34,1600376460867106,UCMhUIipFCHXk86Dtpcb8tIA,"¥1,220",,300,34138,,"{'rgba': [255, 179, 0, 255], 'hex': '#ffb300ff'}"
Mr. Mister,34,0:34,1600376496005777,UC4l-V1KaRjtSTpegNY6LXxg,$5.00,a,,34716,"{'rgba': [0, 191, 165, 255], 'hex': '#00bfa5ff'}","{'rgba': [29, 233, 182, 255], 'hex': '#1de9b6ff'}"
Mr. Mister,34,0:34,1600376496005777,UC4l-V1KaRjtSTpegNY6LXxg,$5.00,a,120,34716,"{'rgba': [0, 191, 165, 255], 'hex': '#00bfa5ff'}","{'rgba': [29, 233, 182, 255], 'hex': '#1de9b6ff'}"
benjaMLG64,35,0:35,1600376462750688,UC_WwmtQHorntM7rVuwrefCg,CLP 500,,,35912,"{'rgba': [21, 101, 192, 255], 'hex': '#1565c0ff'}","{'rgba': [30, 136, 229, 255], 'hex': '#1e88e5ff'}"
The Omnissiah,37,0:37,1600376464313181,UCDL2PKUj6sBjImF9hJjSSrQ,CA$10.00,I dream of happy mechanical sharks.,,37324,"{'rgba': [255, 179, 0, 255], 'hex': '#ffb300ff'}","{'rgba': [255, 202, 40, 255], 'hex': '#ffca28ff'}"
The Omnissiah,37,0:37,1600376464313181,UCDL2PKUj6sBjImF9hJjSSrQ,CA$10.00,I dream of happy mechanical sharks.,300,37324,"{'rgba': [255, 179, 0, 255], 'hex': '#ffb300ff'}","{'rgba': [255, 202, 40, 255], 'hex': '#ffca28ff'}"
