timestamp,author,time_in_seconds,message,time_text,badges,video_offset_time_msec,author_id
1597882574603949,Bullfrog,12801,Open beta could really hurt a game if it turns toxic too early :_Giggles:,3:33:21,New member,12801726,UCabui5aQ4lIO5ZzqyXODfmw
1597882576488976,Mayo,12803,bomber,3:33:23,New member,12803636,UCf4AcloR8An12RbHD4MdrXg
1597882577815318,Mr_DeeMsTer,12804,closed beta,3:33:24,New member,12804963,UCue5KO5YFazZMX5GJVZ0QHg
1597882582001550,DmG Fusion,12809,you have to watch twitch to get code drops or pay for the founders edition for access to the beta,3:33:29,New member,12809324,UCmw8oVQiu_WYPHXXg-FOYfg
1597882582137096,Matthew Rogers,12809,ghost doc,3:33:29,New member,12809459,UChR8W_j98eFOsDoU-rA7--A
1597882585875641,Mayo,12813,uh oh,3:33:33,New member,12813189,UCf4AcloR8An12RbHD4MdrXg
1597882586039259,JBL edits,12813,what this game claled?,3:33:33,New member,12813353,UC_csurx8IpEhmMk-61U5TEg
1597882589106133,CPT Sprinx,12816,:_Handshake:,3:33:36,New member,12816428,UC2FO3wIQDxgjJzFMKOMsxYA
1597882596361785,JJ Stevens,12823,character skinds and movement needs a lot of work,3:33:43,New member,12823705,UCLX9JCxs9CoRlnduY6JNi_Q
1597882598754689,JJ Stevens,12826,skins,3:33:46,New member,12826091,UCLX9JCxs9CoRlnduY6JNi_Q
1597882600393552,Mayo,12827,the bomb,3:33:47,New member,12827730,UCf4AcloR8An12RbHD4MdrXg
1597882602055646,Jamies Division,12829,rouge company,3:33:49,New member,12829341,UCk_QDV9LvskyL58XL46M25A
1597882606375545,Clint Choate,12833,:_Yaya::_Yaya::_Yaya:,3:33:53,New member,12833671,UCnZSE5bUjD38nnyBMHVJ5Gg
1597882606595900,ghstbstr,12833,oof,3:33:53,New member,12833892,UCq11f-W0blwuXp7H71N7eqw
1597882608569083,Mayo,12835,go player ?,3:33:55,New member,12835874,UCf4AcloR8An12RbHD4MdrXg
1597882611981556,CPT Sprinx,12839,thank you,3:33:59,New member,12839350,UC2FO3wIQDxgjJzFMKOMsxYA
1597882613646554,kingjappyjoe420,12841,Is this the HyperSpace game or something else?,3:34:01,New member,12841015,UCli7CSJDZHmmQe4Pdk1ZhIg
1597882616451829,xJohnny Ax,12843,Dumb teammates,3:34:03,New member,12843793,UCm5qlrIml98dW_hgNZzhhrw
1597882616828348,Mr_DeeMsTer,12844,at least thats what it says on the website when you go to dl,3:34:04,New member,12844170,UCue5KO5YFazZMX5GJVZ0QHg
1597882617601943,Mayo,12844,oooof,3:34:04,New member,12844944,UCf4AcloR8An12RbHD4MdrXg
1597882618683185,Champions Club Mail Carrier,12845,THIS GUY SUX,3:34:05,New member,12845881,UCIjgqpDV3TLfcjlFDDpKNbg
1597882620543360,Feddy,12847,Regain,3:34:07,New member,12847741,UCExvNRWSgUaYs9lbqXLKDCw
1597882621692146,Kravesin,12849,bro,3:34:09,New member,12849044,UClg1yllSBHBCqxlES8QsNVQ
1597882621987927,Jared,12849,HES THROWING LOL,3:34:09,New member,12849340,UC5uwvvf4gLRWrj2vM8JSrtw
1597882623410625,kingjappyjoe420,12850,oh yeah Rogue Company,3:34:10,New member,12850762,UCli7CSJDZHmmQe4Pdk1ZhIg
1597882623816033,Sicknerazor,12851,Hahahhahaha,3:34:11,New member,12851199,UCthELiRzUW6Ra2TBmCmNgDg
1597882623886431,Trenton Bruner,12851,weak sauce,3:34:11,New member,12851269,UCIGmk8XwAErHd9gcFYFH2hQ
1597882624240124,Jack Robinson,12851,USELESSS,3:34:11,New member,12851623,UCV4rPSUUa5ppvfxtrZ62HEw
1597882624993918,Kilyin74,12852,ouch,3:34:12,New member,12852377,UCFjdgRpubFFGmGxTMUWCVfA
1597882625219917,Jaikob Mullin,12852,??????? lol,3:34:12,New member,12852603,UCsjzOoR5x4ojog_b09oTSeQ
1597882627433076,Diiablo,12854,see stone putting c4 on drone in wz?,3:34:14,New member,12854785,UCSvVqPX6FU83TtOCH9cAtAw
1597882627679640,Heath,12855,closed beta doc,3:34:15,New member,12855032,UCfzufpUbIMt3Y3DvAj0kRJA
1597882628525653,Professor Chaos,12855,NOOBS,3:34:15,New member,12855867,UCHh37BypqNd_UGzPjPHOS_w
1597882629434275,Mayo,12856,almost close ooof,3:34:16,New member,12856776,UCf4AcloR8An12RbHD4MdrXg
1597882630742764,I am a flying horse,12858,that was very unathletic,3:34:18,New member,12858092,UClciQozjrgsb3SyR1A0ZOBA
1597882630902648,Mr Mando,12858,beta? wz then,3:34:18,New member,12858252,UChhEI9UXGN8Yg3er-fMUdbQ
1597882631264333,Mirroz,12858,THIS DUDE IS NERVOUS!!!,3:34:18,New member,12858613,UCT3qtSL3bdpln1NpUXwPcVg
1597882631873569,marshallbenn33,12859,yawn,3:34:19,New member,12859222,UCwkCMmIbUZ2AL1-K62HfSqg
1597882633616859,johana,12860,yikes,3:34:20,New member,12860940,UCBjKzbnpTxd40rT9Lmqe9xA
