amount,author,author_id,badges,body_color,header_color,message,ticker_duration,time_in_seconds,time_text,timestamp,video_offset_time_msec
,Ning Nong,UCEQ4yE682KofjEd4IAor5jw,,,,Late by -20 minutes,,146,2:26,1597517067656531,146294
,AkiyamaChimChim,UCoAdtYbxZ1Q5ePqki_ASUCg,,,,Late,,146,2:26,1597517067722331,146360
,louisbest1,UCCFvcBm3EMODGzlHo86h9Mw,,,,early,,146,2:26,1597517067747725,146385
,J U S T A C T,UCSZXBTMAIdg92Ol2ELV8_DA,,,,early,,146,2:26,1597517067796479,146434
,Why Do u ask,UChR0J-_N8IRBHc33kbUnHhQ,,,,Late,,146,2:26,1597517067881189,146519
,Cyclician TM,UCJlpQDIqhKCITAcyQ0eCEDQ,,,,LATE,,146,2:26,1597517068056133,146694
,GreenShyGuy71,UC6uXmZqThXacFEFwvDFWzPw,,,,Late,,146,2:26,1597517068079709,146717
,wolf family okey,UCcz42uPSXHCiSKz1bFIKa3Q,,,,Late,,146,2:26,1597517068141471,146779
,Sasho. bg,UCdgXjHTvt3p4-CQdyKmfong,,,,LAte,,147,2:27,1597517068381835,147019
,The Seal,UCQDv2YTaSG5TYJJzQUS0OTQ,,,,Late,,147,2:27,1597517068414057,147052
,Mr. Paulus,UC0tSQZEvxUnciRj0klupKPw,,,,late super LATE,,147,2:27,1597517068440121,147078
,Acoustic Trident,UCU3gvDKo8a_aleIo4q25-oA,New member,,,L,,147,2:27,1597517068533955,147171
,Jessica Yeung,UCdsAV0mjA5NfrMsNadzwLEQ,,,,L,,147,2:27,1597517068548201,147186
,Cathy Wu,UCvlw3gFkQZkYuQ10opyzaag,,,,LATEEE,,147,2:27,1597517068686566,147324
,Tycitron,UCy4oaaAi5CIyQlQ4yCDhOlw,,,,EARLY,,147,2:27,1597517068731256,147369
,ThatGuyOmega,UCmIIA1qRcAtDFBjD0Ae23Uw,,,,late,,147,2:27,1597517068905583,147543
,Articuno 7,UCPbTGufPiWM1WuzrJhV-e3g,,,,Late,,147,2:27,1597517068964776,147602
,Shush,UCxSnZA5m3Ft8PyZMXo9ycqg,,,,late,,148,2:28,1597517069528895,148201
,Ronaldo Beharry,UCVomu1yI_FfZmpVc0Uy7rMA,,,,late,,148,2:28,1597517069588155,148260
,dogpopo 911,UC_m9c39ctUj5dOCa-a9fGDg,,,,late,,148,2:28,1597517069728276,148400
,Jayden Boback,UCmaWUXd4fVw5mN1NijNjfyw,,,,late,,148,2:28,1597517069760281,148432
,NewStart YT,UCmdZmYiqweU1ZnCEqRbe6Qw,,,,DREAM AND TECHNO SUPPORT LETS SEE THEM DO A FLAWLESS RUN STARTING NOW,,148,2:28,1597517069950210,148622
,spinbug,UCGFZlDSrNQvg3L2yFXJVT3Q,,,,late,,148,2:28,1597517069975623,148648
,ElectrifierGaming,UCzyQBfmeFjd3xzcZb-t0b8A,,,,language,,148,2:28,1597517070313287,148985
